User_ID;Smartphone_Adoption;Payment_Method;Website_Activity;Bought_Digital_Media_18Mo;Gender;Bought_Electronics_12Mo;Bought_Digital;Browsed_Electronics_12Mo;Marital_Status;Age
9552;Early Adopter;Monthly Billing;Seldom;No;M;No;Yes;Yes;M;66
6757;Early Adopter;Website Account;Regular;Yes;F;No;Yes;No;S;66
3599;Early Adopter;Website Account;Regular;No;F;No;Yes;Yes;S;66
6811;Early Adopter;Bank Transfer;Seldom;No;F;Yes;Yes;Yes;M;19
4104;Early Adopter;Website Account;Regular;No;M;No;Yes;Yes;S;66
7226;Early Adopter;Monthly Billing;Frequent;Yes;F;Yes;Yes;No;S;66
7814;Early Adopter;Bank Transfer;Frequent;Yes;F;Yes;Yes;Yes;S;55
4693;Early Adopter;Website Account;Frequent;Yes;F;No;Yes;Yes;S;61
7266;Early Adopter;Bank Transfer;Seldom;Yes;M;No;Yes;No;M;66
5259;Early Adopter;Monthly Billing;Regular;Yes;F;Yes;Yes;Yes;S;52
7417;Early Adopter;Monthly Billing;Seldom;Yes;M;No;Yes;No;M;66
6795;Early Adopter;Monthly Billing;Seldom;No;F;Yes;Yes;Yes;S;63
8669;Early Adopter;Credit Card;Regular;No;M;Yes;Yes;Yes;M;61
9888;Early Adopter;Bank Transfer;Seldom;No;M;Yes;No;Yes;S;26
9181;Early Adopter;Bank Transfer;Seldom;No;M;No;No;Yes;S;66
2792;Early Adopter;Bank Transfer;Regular;No;M;No;Yes;Yes;M;42
5174;Early Adopter;Website Account;Seldom;Yes;F;Yes;No;No;S;66
8702;Early Adopter;Bank Transfer;Seldom;No;M;No;No;Yes;S;66
4318;Early Adopter;Website Account;Seldom;Yes;F;No;Yes;Yes;S;66
6091;Early Adopter;Website Account;Seldom;Yes;M;No;Yes;Yes;M;60
8380;Early Adopter;Bank Transfer;Regular;No;F;Yes;No;Yes;S;27
6892;Early Adopter;Bank Transfer;Seldom;Yes;F;Yes;Yes;No;S;66
7976;Early Adopter;Monthly Billing;Seldom;Yes;F;Yes;Yes;Yes;S;61
7214;Early Adopter;Bank Transfer;Seldom;No;M;Yes;Yes;Yes;S;40
3369;Early Adopter;Bank Transfer;Seldom;No;M;Yes;Yes;Yes;S;40
